# Delays, Delay errors, Counts
4.106629300650813441e+00,3.527647800198205298e-04,3.000000000000000000e+01
4.127421673667691415e+00,3.527731080637226484e-04,2.400000000000000000e+01
4.148214046684570278e+00,3.527814798569285887e-04,2.100000000000000000e+01
4.169006419701448252e+00,3.527898953963237087e-04,1.900000000000000000e+01
4.189798792718326226e+00,3.527983546787775374e-04,2.600000000000000000e+01
4.210591165735205088e+00,3.528068577011436117e-04,1.700000000000000000e+01
4.231383538752083062e+00,3.528154044602594222e-04,1.900000000000000000e+01
4.252175911768961925e+00,3.528239949529465760e-04,2.200000000000000000e+01
4.272968284785839899e+00,3.528326291760107425e-04,1.000000000000000000e+01
4.293760657802718761e+00,3.528413071262414906e-04,2.000000000000000000e+01
4.314553030819596735e+00,3.528500288004126685e-04,2.200000000000000000e+01
4.335345403836474709e+00,3.528587941952820778e-04,1.900000000000000000e+01
4.356137776853353571e+00,3.528676033075914742e-04,1.700000000000000000e+01
4.376930149870231546e+00,3.528764561340668924e-04,2.100000000000000000e+01
4.397722522887110408e+00,3.528853526714184293e-04,1.400000000000000000e+01
4.418514895903988382e+00,3.528942929163400815e-04,1.600000000000000000e+01
4.439307268920866356e+00,3.529032768655100704e-04,2.300000000000000000e+01
4.460099641937745218e+00,3.529123045155907880e-04,2.000000000000000000e+01
4.480892014954623193e+00,3.529213758632285800e-04,1.400000000000000000e+01
4.501684387971502055e+00,3.529304909050541257e-04,1.500000000000000000e+01
4.522476760988380029e+00,3.529396496376818954e-04,1.700000000000000000e+01
4.543269134005258891e+00,3.529488520577107468e-04,1.900000000000000000e+01
4.564061507022136865e+00,3.529580981617235999e-04,2.300000000000000000e+01
4.584853880039014840e+00,3.529673879462874911e-04,1.300000000000000000e+01
4.605646253055893702e+00,3.529767214079536277e-04,1.500000000000000000e+01
4.626438626072771676e+00,3.529860985432572789e-04,2.000000000000000000e+01
4.647230999089650538e+00,3.529955193487181015e-04,2.500000000000000000e+01
4.668023372106528512e+00,3.530049838208395435e-04,2.000000000000000000e+01
4.688815745123407375e+00,3.530144919561096573e-04,1.600000000000000000e+01
4.709608118140285349e+00,3.530240437510003405e-04,1.700000000000000000e+01
4.730400491157163323e+00,3.530336392019677700e-04,1.800000000000000000e+01
4.751192864174042185e+00,3.530432783054523473e-04,1.500000000000000000e+01
4.771985237190920159e+00,3.530529610578786990e-04,2.400000000000000000e+01
4.792777610207799022e+00,3.530626874556555138e-04,2.300000000000000000e+01
4.813569983224676996e+00,3.530724574951758679e-04,1.300000000000000000e+01
4.834362356241554970e+00,3.530822711728168997e-04,1.900000000000000000e+01
4.855154729258433832e+00,3.530921284849400810e-04,9.000000000000000000e+00
4.875947102275311806e+00,3.531020294278910542e-04,1.700000000000000000e+01
